rush_yd,rush_td,rush_fd,rush_att,rush_2pt,pts_std,pts_ppr,pts_half_ppr,pass_yd,pass_td,pass_int,pass_fd,pass_cmp,pass_att,pass_2pt,gp,fum_lost,cmp_pct,adp_std,adp_rookie,adp_ppr,adp_idp,adp_half_ppr,adp_dynasty_std,adp_dynasty_ppr,adp_dynasty_half_ppr,adp_dynasty_2qb,adp_dynasty,adp_2qb,player_id,first_name,last_name,injury_status
50.0,1.0,5.0,11.0,,47.12,47.12,47.12,628.0,4.0,3.0,62.8,55.0,91.0,1.0,18.0,2.0,60.44,564.9,999.0,999.0,251.1,589.0,206.1,204.0,206.6,131.1,999.0,188.1,9999,Will,Levis,Questionable
47.0,1.0,4.7,10.0,,45.58,45.58,45.58,622.0,3.0,2.0,62.2,56.0,91.0,1.0,18.0,1.0,61.54,641.4,999.0,999.0,506.9,665.4,553.6,999.0,563.6,281.7,999.0,262.3,2711,Taylor,Heinicke,
44.0,,4.4,14.0,,42.52,42.52,42.52,653.0,4.0,2.0,65.3,63.0,98.0,,18.0,1.0,64.29,599.7,999.0,999.0,457.4,620.3,590.5,999.0,601.5,257.7,999.0,215.8,3257,Jacoby,Brissett,
28.0,,2.8,9.0,,41.4,41.4,41.4,690.0,4.0,3.0,69.0,63.0,100.0,,18.0,1.0,63.0,545.7,999.0,999.0,479.9,548.9,999.0,589.8,999.0,289.9,999.0,218.8,533,Colt,McCoy,
34.0,,3.4,7.0,,40.76,40.76,40.76,634.0,4.0,2.0,63.4,56.0,88.0,,18.0,1.0,63.64,581.0,999.0,999.0,408.9,609.1,391.8,617.3,393.2,254.8,999.0,228.6,6011,Gardner,Minshew,
77.0,2.0,7.7,11.0,,39.66,39.66,39.66,399.0,2.0,2.0,39.9,34.0,54.0,1.0,18.0,2.0,62.96,252.3,999.0,247.7,183.6,251.5,167.6,163.7,168.7,98.4,999.0,136.3,7610,Trey,Lance,
21.0,1.0,2.1,5.0,,35.86,35.86,35.86,444.0,3.0,2.0,44.4,37.0,61.0,1.0,18.0,1.0,60.66,598.4,999.0,999.0,593.3,561.3,650.5,559.0,613.8,323.5,999.0,341.3,2306,Jameis,Winston,
87.0,1.0,8.7,16.0,,34.98,34.98,34.98,382.0,2.0,1.0,38.2,35.0,55.0,,18.0,1.0,63.64,636.4,999.0,999.0,523.2,652.4,523.9,999.0,530.1,275.6,999.0,275.8,7083,Tyler,Huntley,Questionable
67.0,1.0,6.7,12.0,,33.74,33.74,33.74,401.0,2.0,1.0,40.1,32.0,54.0,,18.0,1.0,59.26,543.7,999.0,999.0,595.4,532.3,487.1,999.0,494.9,311.2,999.0,305.7,2307,Marcus,Mariota,
67.0,1.0,6.7,13.0,,31.74,31.74,31.74,376.0,2.0,2.0,37.6,34.0,56.0,,18.0,1.0,60.71,601.3,999.0,999.0,999.0,598.8,999.0,999.0,999.0,415.6,999.0,999.0,827,Tyrod,Taylor,
33.0,1.0,3.3,7.0,,30.5,30.5,30.5,405.0,2.0,1.0,40.5,35.0,56.0,,18.0,1.0,62.5,519.8,999.0,999.0,426.4,536.9,391.4,999.0,392.4,240.0,999.0,260.4,4943,Sam,Darnold,
20.0,1.0,2.0,3.0,,28.48,28.48,28.48,387.0,2.0,1.0,38.7,34.0,54.0,,18.0,1.0,62.96,659.0,999.0,999.0,625.4,644.3,586.0,999.0,597.0,316.9,999.0,338.8,6136,Jarrett,Stidham,
18.0,,1.8,4.0,,27.08,27.08,27.08,432.0,3.0,2.0,43.2,38.0,61.0,,18.0,1.0,62.3,607.7,999.0,999.0,464.8,636.8,398.2,369.0,398.2,248.7,999.0,232.6,5089,Mike,White,
28.0,,2.8,7.0,,27.0,27.0,27.0,405.0,3.0,2.0,40.5,36.0,59.0,,18.0,1.0,61.02,415.2,999.0,999.0,999.0,438.4,999.0,688.0,999.0,346.6,999.0,999.0,3976,Mitch,Trubisky,
28.0,1.0,2.8,6.0,,26.24,26.24,26.24,311.0,2.0,1.0,31.1,27.0,45.0,,18.0,1.0,60.0,571.3,999.0,999.0,467.7,570.8,356.3,350.8,356.8,239.1,999.0,999.0,7538,Zach,Wilson,
15.0,,1.5,3.0,,23.7,23.7,23.7,380.0,2.0,1.0,38.0,37.0,58.0,1.0,18.0,1.0,63.79,649.3,999.0,999.0,631.7,646.8,999.0,999.0,999.0,336.5,999.0,347.9,7585,Davis,Mills,
18.0,,1.8,6.0,,22.96,22.96,22.96,404.0,2.0,1.0,40.4,39.0,62.0,,18.0,1.0,62.9,559.7,999.0,999.0,470.9,578.0,388.9,347.3,388.9,251.8,999.0,281.7,8157,Bailey,Zappe,
43.0,1.0,4.3,9.0,,18.94,18.94,18.94,191.0,1.0,1.0,19.1,14.0,26.0,,18.0,1.0,53.85,506.1,999.0,999.0,517.7,537.1,386.7,663.0,386.2,277.6,999.0,999.0,8161,Malik,Willis,
13.0,,1.3,2.0,,18.34,18.34,18.34,251.0,2.0,1.0,25.1,24.0,36.0,,18.0,,66.67,999.0,999.0,999.0,999.0,384.0,434.5,473.5,445.5,999.0,999.0,999.0,2152,Teddy,Bridgewater,
14.0,,1.4,2.0,,17.92,17.92,17.92,288.0,2.0,1.0,28.8,25.0,40.0,,18.0,1.0,62.5,546.0,999.0,999.0,641.3,533.5,663.7,572.8,674.3,388.9,999.0,343.6,829,Andy,Dalton,Questionable
13.0,,1.3,3.0,,16.7,16.7,16.7,235.0,2.0,2.0,23.5,21.0,34.0,1.0,18.0,1.0,61.76,331.0,999.0,999.0,999.0,326.0,999.0,512.9,999.0,344.0,999.0,999.0,3161,Carson,Wentz,
