,Projections,gsis_id,stats_id,injury_start_date,fantasy_data_id,swish_id,pandascore_id,injury_body_part,birth_city,first_name,age,last_name,active,team,yahoo_id,depth_chart_position,status,sportradar_id,injury_notes,player_id,fantasy_positions,rotoworld_id,search_rank,oddsjam_id,rotowire_id,full_name,position,espn_id,depth_chart_order
3449,0.0,,,,21774.0,946101.0,,Shoulder,,Tony,26.0,Jones,True,ARI,33114.0,RB,Inactive,83d4c4c3-3c40-49b1-8b86-25d256a0b5ad,,6984,['RB'],,630.0,767D16918918,14423.0,Tony Jones,RB,4046676.0,6.0
3450,0.0,,,,,1109717.0,,,,Michael,24.0,Jurgens,True,MIN,,OL,Active,605576a7-d04d-4286-9a16-9ec2a3d3f58b,,11818,['OL'],,9999999.0,146EB33B5817,18077.0,Michael Jurgens,OL,,
3451,0.0,,,,19666.0,,,,,Doug,,Williams,False,,,,Inactive,,,4748,,12979.0,9999999.0,,,Doug Williams,,,
3452,64.2,,,,18725.0,,,,,Brandon,25.0,Johnson,False,,30031.0,,Inactive,,,3901,['RB'],,9999999.0,,,Brandon Johnson,RB,,
3453,0.0,,,,,1228920.0,,,,Ben,22.0,Sinnott,True,WAS,,TE,Active,b5c717af-9116-483c-9ab3-c9db0a988ab8,,11596,['TE'],,171.0,8B176931BA87,17833.0,Ben Sinnott,TE,,1.0
3454,0.0,00-0029585,,,13749.0,465583.0,,Personal,,Chandler,33.0,Jones,True,,25731.0,,Active,5197def5-f444-4561-ad28-7aac10dc748e,,1038,"['DL', 'LB']",7429.0,9999999.0,B4BF8F40A203,8140.0,Chandler Jones,LB,14927.0,
3455,0.0,00-0027859,,,11604.0,,,,,Russell,33.0,Okung,True,,23981.0,,Active,38293bdb-87d5-4219-be46-44fea6741483,,641,"['OL', 'OT']",5632.0,9999999.0,,6539.0,Russell Okung,OT,13242.0,
3456,62.0,,,,,978388.0,,,,Brontae,25.0,Harris,True,,,,Active,98e92378-b01f-4fe8-ab8c-24c8e186a74a,,8078,['DB'],,,,15734.0,Brontae Harris,DB,,
3457,0.0,,,,,1118567.0,,,,Logan,24.0,Hall,True,TB,,RDE,Active,ec558188-4bc5-4e5a-9035-dca1b46a49d4,,8360,['DL'],,9999999.0,704C4CAEF6DF,16119.0,Logan Hall,DL,,1.0
3458,321.5,00-0030181,477386.0,,15602.0,477386.0,,,,Jack,31.0,Doyle,True,IND,27299.0,,Active,bd413539-9351-454e-9d61-4e8635d7e9f5,,1706,['TE'],9075.0,504.0,,9081.0,Jack Doyle,TE,16504.0,
3459,0.0,00-0032764,732145.0,,17959.0,732145.0,,,,Derrick,30.0,Henry,True,BAL,29279.0,RB,Active,87c481c7-7414-43cc-82df-19ca0c2ae22e,,3198,['RB'],11238.0,19.0,9D8CB3224420,10819.0,Derrick Henry,RB,3043078.0,1.0
3460,0.0,,841352.0,,18368.0,,,,,Mike,,Miller,False,,29606.0,,Inactive,dd705d42-aa9c-4a4d-8d47-21c88fc39f76,,3588,['TE'],,9999999.0,,11255.0,Mike Miller,TE,4010885.0,
3461,0.0,,,,19316.0,,,,,Nick,,Schuessler,True,PIT,30389.0,,Active,,,4926,['QB'],,9999999.0,,,Nick Schuessler,QB,,
3462,0.0,00-0027720,,,11021.0,,,,,Geno,33.0,Atkins,True,,24095.0,,Active,2beaf8a8-ccf1-4500-a941-33ffc8141d60,,528,['DL'],,599.0,,6589.0,Geno Atkins,DT,13311.0,
3463,0.0,00-0034160,,,19956.0,884283.0,,,,Michael,28.0,Dickson,True,SEA,31119.0,P,Active,d1ae3222-8892-49bc-bb3e-0bcd7c74522e,,5011,['P'],13265.0,9999999.0,0C72E9F7837B,12481.0,Michael Dickson,P,3929851.0,
3464,24.0,,,,12864.0,,,,,James,28.0,Dockery,False,,,,Inactive,1e53e25b-9b85-41c6-b6c1-7cc129a35de1,,834,['DB'],,9999999.0,,,James Dockery,CB,14733.0,
3465,0.0,,,,,1324696.0,,,,Jaden,22.0,Hicks,True,KC,,FS,Active,3e4f799d-5567-4239-9513-86a16a674073,,11728,['DB'],,566.0,13BDCA2BD5A6,17797.0,Jaden Hicks,DB,,2.0
3466,0.0,00-0034035,753865.0,,19733.0,,,,,Daniel,26.0,Williams,True,,30938.0,,Active,2e67a3f9-b3e8-409b-a61f-adc76fb83115,,4829,['WR'],,9999999.0,,12374.0,Daniel Williams,WR,3060347.0,
3467,0.0,,544696.0,,16990.0,,,,,Joey,29.0,Iosefa,False,,28619.0,,Inactive,66e35780-b140-44f7-ad2f-72fa76ea2a7e,,2530,['RB'],,9999999.0,,10479.0,Joey Iosefa,RB,2517262.0,
3468,177.0,,,,13250.0,,,,,DJ,29.0,Williams,False,,,,Inactive,26f507c9-6d5d-454a-a381-7ec1fd2e0fb1,,935,['TE'],,9999999.0,,,DJ Williams,TE,,
3469,0.0,,,,,1175806.0,,,,Martin,23.0,Emerson,True,CLE,,NB,Active,a1173ed5-eca1-4c81-beaf-3460d22f6cf1,,8390,['DB'],,9999999.0,97BB0CF3C0EC,16137.0,Martin Emerson,DB,,1.0
3470,0.0,00-0032117,605423.0,,16954.0,,,Chest,,Nick,29.0,O'Leary,True,,28582.0,,Active,c257b2e6-dfc9-45c8-b30c-a497f2ce82a2,Surgery,2495,['TE'],,424.0,,10250.0,Nick O'Leary,TE,2576804.0,
3471,0.0,,,,9890.0,,,,,Vance,33.0,Walker,False,,9474.0,,Inactive,f0c7fed4-d422-4a57-9c2e-2a7614ef571e,,488,['DL'],,9999999.0,,6898.0,Vance Walker,DE,12448.0,
3472,32.0,,691277.0,,18059.0,,,,,Zack,28.0,Sanchez,False,,29375.0,,Inactive,ec425946-fba0-48fd-9a72-a4b0be4b1275,,3298,['DB'],11445.0,9999999.0,,10966.0,Zack Sanchez,CB,2976596.0,
3473,0.0,,,,,1179743.0,,,,Nahshon,25.0,Wright,True,MIN,,,Active,884b6094-1ebd-4b72-b957-ad33a3ab984f,,7687,['DB'],,9999999.0,5A4E79244583,15549.0,Nahshon Wright,CB,,
3474,0.0,,,,14790.0,,,,,Darrion,32.0,Weems,False,,26313.0,,Inactive,2768da89-2265-4e20-aafc-0261fca287bc,,1309,['OL'],,9999999.0,,8595.0,Darrion Weems,T,15332.0,
3475,0.0,00-0033337,,,19218.0,,,,,Brandon,27.0,Bell,False,,30576.0,,Inactive,0cea85ba-f49b-4f4b-b50e-b96042a6a680,,4361,['LB'],,9999999.0,,12133.0,Brandon Bell,ILB,3057972.0,
3476,55.0,,,,18288.0,,,,,Clay,29.0,DeBord,True,,29570.0,,Active,99e93c6e-cc16-4a7c-8f0e-5266d91f1a52,,3522,['OL'],,9999999.0,,11289.0,Clay DeBord,OT,2977180.0,
3477,0.0,,,,,1068766.0,,,,Olakunle,25.0,Fatukasi,True,,,,Active,d9e949d0-d3ec-11ec-8afa-57d9afd0ecba,,8870,['LB'],,9999999.0,AE1B21E4602F,16570.0,Olakunle Fatukasi,LB,,
3478,0.0,,,,21788.0,877807.0,,,,Ke'Shawn,27.0,Vaughn,True,SF,32746.0,,Active,4b0a90db-f007-4ac1-8542-b531342b9da5,,6885,['RB'],,644.0,0D80251F807B,14557.0,Ke'Shawn Vaughn,RB,3917612.0,
3479,58.0,00-0034841,,,20675.0,,,,,Brandon,26.0,Bryant,False,,31763.0,,Inactive,4d4a1164-3864-40a9-98e1-423af86b7c92,,5768,['DB'],,9999999.0,,13360.0,Brandon Bryant,SS,3115472.0,
3480,0.0,00-0033461,,,18936.0,821386.0,,,,Raekwon,27.0,McMillan,True,NE,30167.0,ROLB,Active,8aad56a2-0589-4ebc-99f8-b07c5023fd70,,4090,['LB'],12271.0,684.0,B655C77B8889,11977.0,Raekwon McMillan,LB,3121423.0,2.0
3481,0.0,,,,13612.0,,,,,Christian,32.0,Tupou,False,,,,Inactive,b75b8d79-e040-4df1-a6b3-2ff10b99a796,,1012,['DL'],,9999999.0,,,Christian Tupou,DE,16537.0,
3482,0.0,,,,,1107867.0,,,,Sean,25.0,Ryan,True,,,,Active,6878bdc0-f01b-11ed-beb1-27fdf5239b61,,11387,['WR'],,328.0,C3D1D9758B7D,,Sean Ryan,WR,,
3483,22.0,,542889.0,,16673.0,,,,,Trey,30.0,Millard,True,,27773.0,,Active,ed2ffa3b-b430-456b-9111-11514e90af7c,,2262,['RB'],,9999999.0,,9700.0,Trey Millard,RB,16901.0,
3484,0.0,00-0034359,,,19878.0,728325.0,,,,Tyquan,29.0,Lewis,True,IND,31034.0,LDE,Active,7b06a505-ea09-4f2a-adad-f0f1c9b3ebc9,,5057,['DL'],,9999999.0,873400870E76,12800.0,Tyquan Lewis,DE,3040513.0,3.0
3485,48.0,00-0033819,739797.0,,19591.0,739797.0,,Undisclosed,,Jamal,28.0,Carter,True,,30848.0,,Inactive,1fc0af83-3c6e-4f4d-aadf-233e501c7241,,4689,"['DB', 'LB']",,9999999.0,,11987.0,Jamal Carter,DB,3051925.0,
3486,0.0,,,,,1165335.0,,,,Jeremiah,24.0,Jean-Baptiste,True,LAC,,,Active,8422a070-0502-11ef-b34c-853336a3d100,,11870,['LB'],,9999999.0,90D8FC4ECA6C,18136.0,Jeremiah Jean-Baptiste,LB,,
3487,0.0,00-0034009,,,19650.0,,,,,Alex,28.0,Jenkins,True,,30880.0,,Inactive,399071d5-6918-40ad-9f1b-8ee787ee8cd2,,4735,['DL'],,9999999.0,,12761.0,Alex Jenkins,DE,3049426.0,
3488,0.0,,,,22406.0,,,,,Seth,23.0,Dawkins,True,,33282.0,,Inactive,db28848e-17d9-4855-a8c0-b66765f3d041,,7426,['WR'],,9999999.0,,15018.0,Seth Dawkins,WR,4035996.0,
3489,34.0, 00-0035044,,,21476.0,840345.0,,,,J.T.,26.0,Hassell,True,,32280.0,,Active,fe30ca46-c995-46ce-bca3-12451bfb5ad8,,6429,['DB'],,1742.0,,14133.0,J.T. Hassell,DB,4264341.0,
3490,19.0,,,,22050.0,977729.0,,,,Darnay,26.0,Holmes,True,LV,32780.0,LCB,Active,8e19d167-cee8-4048-8f28-d476b11ec330,,6882,['DB'],,9999999.0,EE32EAD469B0,14535.0,Darnay Holmes,CB,4242973.0,2.0
3491,158.4,,,,,974479.0,,Hamstring,,Ryder,25.0,Anderson,True,NYG,,,Inactive,8c262580-d45d-11ec-a51e-33207d612a74,,8874,['DL'],,647.0,4625DDDEB2EE,16264.0,Ryder Anderson,DE,,
3492,0.0,,,,,1125737.0,,,,Jerome,24.0,Ford,True,CLE,,RB,Active,cdc61676-6592-43f9-a4a6-d29ce52ac8f4,,8143,['RB'],,116.0,C713CA22D196,15989.0,Jerome Ford,RB,,1.0
3493,14.9, 00-0035393,,,21530.0,839252.0,,,,Anthony,28.0,Chesley,True,,32463.0,,Active,c9b2e966-bdfb-4ccb-be3c-42473f63929b,,6645,['DB'],,9999999.0,,14216.0,Anthony Chesley,CB,3910754.0,
3494,0.0, 00-0035628,839043.0,,21593.0,839043.0,,,,D'Ernest,28.0,Johnson,True,JAX,32608.0,RB,Active,f46e812f-14c6-4af8-9316-01a880adebc5,,6694,['RB'],,643.0,94F2740A3F0B,12678.0,D'Ernest Johnson,RB,3139602.0,3.0
3495,49.0,,,,,1215066.0,,,,Kilian,26.0,Zierer,True,HOU,,,Active,b2f6a5a0-f32d-11ed-af69-7df16e87cbc5,,11468,['OT'],,9999999.0,F1806B27EB81,17274.0,Kilian Zierer,T,,
3496,0.0,,,,,1244326.0,,,,Alec,22.0,Mock,True,,,,Active,359294a0-0733-11ef-aa9e-092ebf6e6dd1,,12104,['LB'],,9999999.0,13A7FEAC48F2,18347.0,Alec Mock,LB,,
3497,0.0,,,,19747.0,,,,,Elijah,26.0,Mitchell,True,,,,Active,66338ca6-9ebb-48a1-8b35-9bd40edfa5e5,,4844,['DB'],,9999999.0,,,Elijah Mitchell,CB,3052304.0,
3498,0.0,00-0030850,557135.0,,16236.0,557135.0,,,,Cody,29.0,Parkey,True,,27911.0,,Active,4b99ead5-0f79-4899-84a7-075c08890698,,1974,['K'],9893.0,522.0,,9943.0,Cody Parkey,K,17082.0,
3499,0.0,,,,7121.0,,,,,Wallace,35.0,Gilberry,False,,9123.0,,Inactive,9e71b73a-c580-4d81-9b54-dcb7ec22a01f,,281,['DL'],,9999999.0,,5728.0,Wallace Gilberry,DE,11809.0,
3500,0.0,00-0034479,733640.0,,20466.0,,,,,Matthew,27.0,McCrane,True,,31310.0,,Active,bd49c4a4-1314-45e1-bff5-fc67ba41d1dd,,5386,['K'],13503.0,656.0,,12712.0,Matthew McCrane,K,3052413.0,
3501,0.0,00-0029629,406180.0,,15669.0,,,,,Nathan,33.0,Stupar,True,,25940.0,,Active,a41304be-54fb-4448-bf94-9bf6334a880a,,1729,['LB'],,9999999.0,,8313.0,Nathan Stupar,LB,15040.0,
3502,0.0,,,,21871.0,884629.0,,,,Robert,25.0,Windsor,True,IND,32863.0,,Active,e26bb68a-8987-40b6-a2d1-af013a13306a,,6893,['DL'],,9999999.0,,14613.0,Robert Windsor,DT,3929658.0,
3503,0.0,,,,,976686.0,,,,Toby,24.0,Ndukwe,True,,,,Active,18518fb0-f8b9-11ed-ab66-3539ec290ce3,,11518,['LB'],,9999999.0,,17642.0,Toby Ndukwe,LB,,
3504,0.0,00-0029620,409523.0,,14032.0,,,,,Brandon,32.0,Marshall,True,,25852.0,,Active,6fc9e2c6-fb44-490e-8353-2362b7b94ee9,,1118,['LB'],7592.0,9999999.0,,8252.0,Brandon Marshall,LB,15002.0,
3505,0.0,,,,11357.0,,,,,Henry,33.0,Melton,False,,9369.0,,Inactive,61f30bba-8f64-4c5a-afee-f8b25c182844,,588,['DL'],,9999999.0,,7082.0,Henry Melton,DE,12695.0,
3506,55.0,,915028.0,,18384.0,,,,,Dez,28.0,Stewart,True,,29592.0,,Inactive,81a17b2d-f331-4470-bbe5-f8af547df4b7,,3599,['WR'],,9999999.0,,11604.0,Dez Stewart,WR,4002656.0,
3507,0.0,,,,,1119186.0,,,,Jay,24.0,Person,True,,,,Active,c682b650-0c8a-11ef-afec-b99fb09598ca,,12316,['DL'],,9999999.0,FF7D8525A7E8,18370.0,Jay Person,DE,,
3508,0.0,,332551.0,,14787.0,,,,,Jeremy,32.0,Ross,False,,25312.0,,Inactive,ac45cfcf-6a9b-477c-8b49-45f624831d8c,,1306,['WR'],,9999999.0,,7654.0,Jeremy Ross,WR,14500.0,
3509,0.0,00-0034475,,,20465.0,,,,,Will,26.0,House,True,,31303.0,,Active,bb6dc980-e124-4548-9344-cd67803b146a,,5523,['OL'],,9999999.0,,13211.0,Will House,G,4294246.0,
3510,0.0,,,,,1165313.0,,,,Tyler,23.0,Smith,True,DAL,,OL,Active,23390ab5-2b55-4d8e-851c-01f9cf338ede,,8449,['OL'],,9999999.0,537F5FEF6BA8,16047.0,Tyler Smith,OL,,
3511,0.0,,,,,1108200.0,,,,Mariano,23.0,Sori-Marin,True,,,,Active,69940a40-e8f3-11ed-a59b-9d4001d2035f,,11178,['LB'],,9999999.0,,17484.0,Mariano Sori-Marin,LB,,
3512,0.0,,,,,1056665.0,,,,Dionte,,Ruffin,True,,,,Active,04799aa9-8488-4096-97cf-f0d5f77aca46,,7843,['DB'],,,,15728.0,Dionte Ruffin,DB,,
3513,0.0,,,,,1506510.0,,,,Louis,23.0,Rees-Zammit,True,JAX,,,Active,b3de7680-ec94-11ee-bfee-6f9e2e387fed,,11652,['RB'],,426.0,B29A8F6E926B,18033.0,Louis Rees-Zammit,RB,,
3514,0.0,,,,,911034.0,,Undisclosed,,Bruno,24.0,Labelle,True,,,,Active,1a486956-1aa5-495e-bf1c-8dadc74be7c4,,7734,['TE'],,,,15715.0,Bruno Labelle,TE,,
3515,0.0,,,,,1121991.0,,,,Tre,22.0,Walker,True,,,,Active,3d970310-ca64-11ec-bdda-4fe5bed84950,,8591,['LB'],,9999999.0,,16364.0,Tre Walker,LB,,
3516,217.0,,605931.0,,17138.0,,,,,Edwin,30.0,Jackson,False,,28806.0,,Inactive,f0437089-96b4-48af-8b71-c40c68412cdc,,2670,['LB'],10840.0,9999999.0,,10782.0,Edwin Jackson,ILB,2519377.0,
3517,0.0,,,,,1172149.0,,,,Jordan,23.0,Battle,True,CIN,,SS,Active,a462797c-d8d9-404c-b663-3ced76d6fc93,,10927,['DB'],,366.0,FF27BD578AB0,17368.0,Jordan Battle,DB,,1.0
3518,0.0,,,,,1113388.0,,,,Darian,24.0,Kinnard,True,PHI,,OL,Active,650c8ab6-958d-47b6-bdc0-62fe852a4f10,,8472,['OG'],,9999999.0,763394C976DE,16048.0,Darian Kinnard,T,,
3519,0.0,,794253.0,,16333.0,,,,,Torrence,27.0,Allen,False,,27844.0,,Inactive,ec251689-808b-4f35-b1f7-743d4a37722a,,2041,['WR'],,9999999.0,,10061.0,Torrence Allen,WR,16962.0,
3520,0.0,00-0033939,,,18991.0,652515.0,,,,Vince,29.0,Biegel,True,,30221.0,,Inactive,28b0d2fd-18d0-442e-a9ec-70b2f8065ff2,,4145,['LB'],12261.0,9999999.0,,11959.0,Vince Biegel,LB,2977798.0,
3521,0.0, 00-0035496,,,21273.0,,,,,Justin,24.0,Alexandre,True,,32519.0,,Active,89588ce4-70cf-4a50-968e-d48cf5c66053,,6575,['DL'],,9999999.0,,14290.0,Justin Alexandre,DL,4263210.0,
3522,0.0,00-0031884,505752.0,,17182.0,,,,,Gabe,30.0,Holmes,False,,28964.0,,Inactive,0f0aa0af-8830-47f8-b83b-ba0aab773594,,2714,['TE'],,9999999.0,,10560.0,Gabe Holmes,TE,2468368.0,
3523,0.0,00-0034147,,,20238.0,,,,,David,26.0,Marvin,True,,31361.0,,Active,33c4aa3f-8f62-48c0-9ebf-d6ad73c6e4e3,,5247,['K'],,9999999.0,,13093.0,David Marvin,K,3059104.0,
3524,0.0,,,,21003.0,,,,,Darrell,24.0,Williams,True,,,,Active,4980358d-6dd1-48b5-b524-cfca456777ec,,6170,['LB'],,9999999.0,,14289.0,Darrell Williams,OLB,3916937.0,
3525,9.4,,,,17178.0,,,,,Donald,25.0,Celiscar,False,,,,Inactive,21587e26-e5ba-464c-944e-c829f6c476d9,,2710,['DB'],,9999999.0,,,Donald Celiscar,CB,2574757.0,
3526,0.0,,,,21721.0,920756.0,,,,Devin,26.0,Duvernay,True,JAX,32762.0,SWR,Active,d93dbc83-e604-4823-a24e-d162cbd8d4d9,,6847,['WR'],,560.0,DC98EEE883D3,14636.0,Devin Duvernay,WR,4039050.0,5.0
3527,0.0,,,,,1130834.0,,Undisclosed,,Forrest,27.0,Merrill,True,,,,Inactive,1a8230ec-fc21-4aff-9624-0f87add5f952,,7931,['DL'],,9999999.0,,15609.0,Forrest Merrill,DT,,
3528,0.0,00-0034222,752817.0,,20161.0,,,,,Jake,27.0,Wieneke,True,,31242.0,,Active,947a517e-6a15-4704-af78-e09109f34a48,,5211,['WR'],,9999999.0,,12691.0,Jake Wieneke,WR,3049054.0,
3529,0.0,,,,11582.0,,,,,Anthony,30.0,Davis,False,,23986.0,,Inactive,02f3eb16-982c-48ff-b731-7456812ab200,,634,['OL'],5608.0,9999999.0,,6441.0,Anthony Davis,OT,13253.0,
3530,0.0,00-0034539,,,20605.0,651030.0,,,,Corey,28.0,Thompson,True,,31597.0,,Active,00fab770-3336-436e-9901-89849769b7b2,,5680,['LB'],,9999999.0,,13232.0,Corey Thompson,OLB,2976524.0,
