gsis_id,stats_id,injury_start_date,fantasy_data_id,swish_id,pandascore_id,injury_body_part,birth_city,first_name,age,last_name,active,team,yahoo_id,depth_chart_position,status,sportradar_id,injury_notes,player_id,fantasy_positions,rotoworld_id,search_rank,oddsjam_id,rotowire_id,full_name,position,espn_id,depth_chart_order
,,,12857,,,,,Ryan,29,Whalen,FALSE,,24954,,Inactive,4a99b4bf-e03e-4253-8b9b-c070ef796daf,,832,['WR'],,9999999,,7411,Ryan Whalen,WR,14131,
,820437,,21668,,,,,Duplicate,,Player,FALSE,,,,Inactive,,,6751,,12292,9999999,,,Duplicate Player,,,
00-0032433,,,18117,691007,,,,Kyle,28,Murphy,TRUE,NO,29434,,Active,cce52ea1-7e17-4992-8911-e6b07b7b3831,,3356,"['OL', 'OT']",,9999999,,11140,Kyle Murphy,OT,2978275,
,,,21679,1062020,,Personal,,CeeDee,25,Lamb,TRUE,DAL,32687,LWR,Active,a72ea15b-5199-4101-a300-846e1c655add,,6786,['WR'],,3,85450367222D,14411,CeeDee Lamb,WR,4241389,7
00-0034764,912070,,19867,912070,,Undisclosed,,Michael,28,Gallup,TRUE,,31051,,Active,9e174ff2-ca0e-4e6b-96f7-90f0088f7edd,,5038,['WR'],13149,299,1E240D9C1957,12810,Michael Gallup,WR,4036348,
,,,,1061549,,,,DJ,25,Johnson,TRUE,CAR,,ROLB,Active,11feb266-14e8-488c-9f7e-f221eaa92df8,,10938,['LB'],,9999999,0C9B6F4EECDC,16680,DJ Johnson,LB,,1
00-0033453,,,19294,,,,,Xavier,26,Coleman,FALSE,,30569,,Inactive,695d16fa-1c4e-4ce4-9d2c-0e117b4fa577,,4433,['DB'],,9999999,,12233,Xavier Coleman,CB,3045642,
,,,,1287923,,,,Bucky,22,Irving,TRUE,TB,,RB,Active,c5249c6f-bd1b-4352-8228-de2bd499ca0d,,11584,['RB'],,199,A45A1C03F17B,17784,Bucky Irving,RB,,2
00-0029613,381806,,14385,,,,,Doug,32,Martin,FALSE,,25741,,Inactive,5c2a0c83-e18a-43dd-bd65-704771157e42,,1195,['RB'],7426,9999999,,8058,Doug Martin,RB,14885,
00-0031060,607847,,16305,,,,,De'Anthony,29,Thomas,TRUE,,27652,,Inactive,35823109-daf1-4825-92b8-564271398ecb,,2023,['WR'],,803,,9274,De'Anthony Thomas,WR,16945,
,470175,,15043,,,,,Mike,30,Catapano,FALSE,,26830,,Inactive,4c08189b-2268-4755-87d0-b0a291f08eb9,,1461,"['DL', 'LB']",,9999999,,8961,Mike Catapano,LB,15944,
,,,22132,885460,,,,Kevin,27,Dotson,TRUE,LAR,32805,OL,Active,fb301e65-4c65-4b60-a8ca-d149fcdbcd97,,7116,['OL'],,9999999,116E2FA7B4F5,14749,Kevin Dotson,OL,3917599,
,,,19809,,,,,Nick,,Sirianni,FALSE,,,,Inactive,,,4907,,13088,9999999,,,Nick Sirianni,,,
,,,,1213345,,,,Kendall,22,Milton,TRUE,CIN,,,Active,d0dd8a70-072c-11ef-a49f-41e71daeb2e1,,11649,['RB'],,313,A92E6B2C0008,17970,Kendall Milton,RB,,
,,,21692,973935,,,,Jerry,25,Jeudy,TRUE,CLE,32685,RWR,Active,eaaa4a61-c2a7-4926-8e9b-3ec71be2f991,,6783,['WR'],,149,74F257A6F220,14458,Jerry Jeudy,WR,4241463,2
00-0034328,,,20551,,,,,Tejan,25,Koroma,TRUE,,31522,,Active,5f642a99-fc5b-4cae-b23d-8d043681b264,,5592,['OL'],,9999999,,13384,Tejan Koroma,C,3138835,
,,,16939,,,,,Max,26,Valles,FALSE,,28567,,Inactive,8ab4dd5c-7ace-4819-80b7-030de97ab88f,,2481,"['DL', 'LB']",,9999999,,10365,Max Valles,LB,3048702,
00-0025549,229510,,5511,,,,,Brent,35,Celek,FALSE,,8416,,Inactive,645a8bf9-2079-4df4-904a-3d8f08438b85,,221,['TE'],4269,9999999,,5403,Brent Celek,TE,10605,
,,,8699,,,,,Knowshon,30,Moreno,FALSE,,,,Inactive,d7ed32dc-b05b-4a90-b29c-7fcb4527d2c5,,387,['RB'],5163,9999999,,,Knowshon Moreno,RB,12516,
,,,,,,,,Player,,Invalid,FALSE,,,,Inactive,,,8432,['TE'],,,,,Player Invalid,TE,,
,,,22233,916460,,,,Rashad,25,Smith,TRUE,,33180,,Active,dec323b8-fb75-4182-b03d-6c412d3d51a5,,7232,['LB'],,9999999,,15096,Rashad Smith,LB,4040762,
,,,,1509834,,,,Anthony,23,Sao,TRUE,,,,Active,d4783f50-07da-11ef-b218-ed50b831f980,,12213,['DB'],,9999999,8FB828B3A11D,18167,Anthony Sao,CB,,
,,,,1181861,,,,Jacob,23,Cowing,TRUE,SF,,SWR,Active,9c145f4f-c9b1-4c2c-b011-8dc40167d0f1,,11616,['WR'],,432,D501FE0B726A,17008,Jacob Cowing,WR,,6
 00-0035703,884553,,21037,884553,,,,Miles,27,Boykin,TRUE,NYG,31925,,Active,d1ed6f8c-1611-4695-8b48-5adce0de50dd,,5965,['WR'],14013,543,0A22FF8AADCF,13553,Miles Boykin,WR,3932423,
,504365,,16462,,,,,Andrew,26,Peacock,FALSE,,28008,,Inactive,404c313b-6788-45ac-8438-99b224988b8f,,2125,['WR'],,9999999,,,Andrew Peacock,WR,17025,
,,,,1183583,,,,JD,24,Bertrand,TRUE,ATL,,LILB,Active,fdb957eb-4146-4453-a6df-f65ca7bc1bb6,,11770,['LB'],,700,7715F27DA2AC,17810,JD Bertrand,LB,,2
00-0034860,837820,,19854,837820,,Undisclosed,,Dante,28,Pettis,TRUE,CHI,31014,,Inactive,20d16690-560b-4a01-af20-8870ef07ea70,,4992,['WR'],13160,468,CEEF50BC317C,12884,Dante Pettis,WR,3127306,9
 00-0030548,540523,,15242,,,,,Eric,30,Reid,TRUE,,26641,,Active,c615cf52-bc61-43ed-bb76-39695ca019c0,,1590,['DB'],8453,9999999,,8685,Eric Reid,SS,15809,
,,,19719,,,,,Darrell,28,Brown,TRUE,,30927,,Active,dfdac366-d991-4d2a-baad-a01b055e1c48,,4804,['OL'],,9999999,,,Darrell Brown,OT,2971882,
00-0033608,692336,,19407,,,,,Ryan,27,Lewis,TRUE,,30491,,Inactive,ba95b150-fad0-4a8d-b15d-a5e318d95b7f,,4529,['DB'],,1260,,12929,Ryan Lewis,CB,2970264,
00-0026027,,,9162,267458,,,,JJ,38,Jansen,TRUE,CAR,9585,LS,Active,e2ee3901-8de4-4585-a6ca-b7d77d271d9e,,439,['LS'],,9999999,4EDD98ACAC84,7078,JJ Jansen,LS,11759,
,,,21894,1066890,,,,James,25,Lynch,TRUE,TEN,32800,,Active,ce8b21f7-6f93-40e6-8068-0432e10d855f,,6858,['DL'],,9999999,35DE560DE241,14499,James Lynch,DT,4259181,
00-0030046,,,15116,509704,,,,Jordan,31,Mills,TRUE,,26786,,Active,cf881df8-d5a0-4736-be01-eb72767366b0,,1510,"['OL', 'OT']",,9999999,,8826,Jordan Mills,T,16004,
,,,19313,,,,,Jordan,,Wade,TRUE,OAK,30636,,Active,,,4925,['OL'],,9999999,,,Jordan Wade,G,,
 00-0032482,689636,,18407,,,,,Bralon,28,Addison,FALSE,,29616,,Inactive,319497eb-9f40-4ef7-9dfe-72314a8e9b21,,3620,['WR'],,9999999,,10747,Bralon Addison,WR,2971271,
,,,,1181975,,,,Christian,22,Sims,TRUE,,,,Active,825c01a0-e857-11ed-95b2-5d386c06de36,,11155,['TE'],,449,,17337,Christian Sims,TE,,
00-0031309,,,16266,,,,,Telvin,30,Smith,FALSE,,27672,,Injured Reserve,dfbbe1cc-1fce-4599-92ae-922a8b79fb83,,1995,['LB'],9394,9999999,,9371,Telvin Smith,LB,16891,
,,,,1054192,,Undisclosed,,Marte,24,Mapu,TRUE,NE,,DB,Inactive,5c55344a-6192-4def-9860-ffd5a571fe68,,10926,['DB'],,695,25AC94AAB044,16947,Marte Mapu,DB,,
