stats_id,fantasy_data_id,active,team,status,player_id,fantasy_positions,full_name,position,depth_chart_order
,21498,TRUE,,Inactive,6623,['DB'],Jomon Dotson,DB,
,19902,TRUE,PHI,Active,5031,['LB'],Oren Burks,LB,3
,11957,FALSE,,Inactive,680,['OL'],Kory Lichtensteiger,C,
,,TRUE,,Active,12446,['LB'],Marvin Moody,LB,
298837,11011,FALSE,,Inactive,526,['DL'],Arthur Jones,DE,
,,TRUE,,Active,12342,['P'],Travis Benham,P,
,22230,TRUE,,Active,7229,['OL'],Dieter Eiselen,OL,
,21461,TRUE,,Active,6478,['OL'],Ryan Crozier,G,
,17793,FALSE,,Inactive,3060,,Kevin Coyle,,
,16433,TRUE,,Inactive,2109,['OL'],Ryan Groy,G,
,19923,TRUE,,Active,5003,['LB'],Shaquem Griffin,LB,
216312,8438,FALSE,,Inactive,355,['RB'],Brian Leonard,RB,
296139,10946,FALSE,,Inactive,506,['WR'],David Nelson,WR,
326851,12326,FALSE,,Inactive,737,['TE'],Mickey Shuler,TE,
448014,15757,FALSE,,Inactive,1749,['TE'],Jake Stoneburner,TE,
,19677,FALSE,,Inactive,4758,,Brett Veach,,
,,TRUE,,Active,8361,['DB'],Damarion Williams,DB,
,17769,FALSE,,Inactive,3054,['OL'],Tyreek Burwell,T,
606516,16776,TRUE,,Active,2320,['RB'],Melvin Gordon,RB,
,,TRUE,PIT,Active,11037,['DB'],Cory Trice,CB,2
406421,13962,FALSE,,Inactive,1100,['DL'],Jared Crick,DE,
508649,16116,TRUE,,Active,1895,['QB'],AJ McCarron,QB,
,,TRUE,,Active,11906,['WR'],Ty James,WR,
,19907,TRUE,CHI,Active,5040,['DB'],Tarvarius Moore,DB,
555630,16955,TRUE,,Active,2496,['RB'],Malcolm Johnson,FB,
,18698,FALSE,,Inactive,3876,['LB'],Michael Wakefield,OLB,2
,21980,TRUE,,Active,7144,['LB'],Clay Johnston,LB,
729627,18537,TRUE,,Injured Reserve,3728,['DL'],Brian Price,DT,
