,Projections_2024,Projections_2022,Stats_2022,stats_id,Stats_2023,Cost_2023,Cost_2022,Bought_By_2023,Bought_By_2022,VORP_2024_med,VORP_2024_mean,VALUE,fantasy_data_id,Projections_2023,active,team,status,player_id,fantasy_positions,full_name,position,depth_chart_order
73,22.6,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,SF,Active,11616,['WR'],Jacob Cowing,WR,6.0
76,71.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,ATL,Active,11770,['LB'],JD Bertrand,LB,2.0
82,14.0,0.0,51.0,,0.0,0,0,,,0,0,0,21894.0,0.0,True,TEN,Active,6858,['DL'],James Lynch,DT,
88,55.0,0.0,0.0,,45.0,0,0,,,0,0,0,,0.0,True,NE,Inactive,10926,['DB'],Marte Mapu,DB,
89,23.0,0.0,0.0,,2.9000000000000004,0,0,,,0,0,0,,21.1,True,NE,Active,9504,['WR'],Kayshon Boutte,WR,7.0
99,141.1,0.0,0.0,,90.0,0,0,,,0,0,0,,34.5,True,DEN,Active,11439,['RB'],Jaleel McLaughlin,RB,2.0
111,240.0,312.0,360.0,,22.0,0,0,,,0,0,0,16786.0,0.0,True,CAR,Active,2330,['LB'],Shaq Thompson,LB,1.0
120,28.8,129.0,70.5,749635.0,20.2,0,0,,,0,0,0,20039.0,80.9,True,,Active,5122,['RB'],Boston Scott,RB,
121,259.0,124.0,213.0,,252.0,0,0,,,0,0,0,,262.0,True,LV,Active,7823,['DB'],Nate Hobbs,CB,1.0
125,64.80000000000001,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,BAL,Active,11629,['WR'],Devontez Walker,WR,4.0
127,94.0,51.0,66.0,,130.0,0,0,,,0,0,0,19902.0,217.0,True,PHI,Active,5031,['LB'],Oren Burks,LB,3.0
142,35.0,59.0,60.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,8361,['DB'],Damarion Williams,DB,
144,36.9,298.1,101.3,606516.0,31.6,0,12,,wopemganghamstyle,0,0,0,16776.0,19.5,True,,Active,2320,['RB'],Melvin Gordon,RB,
145,27.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,PIT,Active,11037,['DB'],Cory Trice,CB,2.0
149,20.0,73.0,11.0,,0.0,0,0,,,0,0,0,19907.0,0.0,True,CHI,Active,5040,['DB'],Tarvarius Moore,DB,
166,18.0,0.0,0.0,,6.0,0,0,,,0,0,0,,0.0,True,DAL,Active,11512,['DL'],Tyrus Wheat,DE,3.0
182,47.0,0.0,0.0,,7.0,0,0,,,0,0,0,,0.0,True,LAC,Active,11122,['LB'],Andrew Farmer,LB,
185,126.20000000000002,116.10000000000001,57.6,,107.7,6,38,TheMattNelson,fartdoctor,0,0,0,,118.20000000000002,True,ATL,Active,7553,['TE'],Kyle Pitts,TE,1.0
192,22.0,115.0,0.0,,89.0,0,0,,,0,0,0,18911.0,0.0,True,HOU,Active,4065,['DL'],Derek Barnett,DE,2.0
202,34.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,11134,['DB'],Kaleb Hayes,CB,
205,47.0,0.0,0.0,,81.0,0,0,,,0,0,0,,0.0,True,PIT,Active,10940,"['DL', 'LB']",Nick Herbig,LB,2.0
206,70.0,71.0,21.0,,26.0,0,0,,,0,0,0,20271.0,0.0,True,MIA,Active,5534,['DB'],Elijah Campbell,DB,2.0
208,35.0,0.0,3.0,,38.0,0,0,,,0,0,0,,0.0,True,BAL,Active,7970,['DB'],Ar'Darius Washington,DB,2.0
209,55.92,51.959999999999994,449.02,216342.0,501.32,0,0,,,0,0,0,611.0,322.56,True,IND,Active,19,['QB'],Joe Flacco,QB,2.0
212,132.0,52.0,79.0,,225.0,0,0,,,0,0,0,,200.0,True,GB,Active,7782,['LB'],Isaiah McDuffie,LB,1.0
216,30.0,172.0,253.0,,124.0,0,0,,,0,0,0,19062.0,98.0,True,,Active,4216,['DB'],Desmond King,DB,
220,10.0,0.0,0.0,,36.0,0,0,,,0,0,0,,0.0,True,JAX,Active,10941,['DL'],Tyler Lacy,DE,2.0
224,181.0,0.0,0.0,,153.0,0,0,,,0,0,0,,213.0,True,HOU,Active,10970,['LB'],Henry To'oTo'o,LB,1.0
247,18.5,60.1,41.900000000000006,712506.0,37.1,0,0,,,0,0,0,18900.0,21.9,True,IND,Active,4054,['TE'],Mo Alie-Cox,TE,2.0
251,11.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,KC,Active,11319,['DL'],Truman Jones,DE,
256,46.0,148.0,131.0,,158.0,0,0,,,0,0,0,19834.0,120.0,True,TB,Active,4969,['DL'],Vita Vea,DT,1.0
261,19.900000000000002,106.2,38.2,608360.0,19.6,0,0,,,0,0,0,18187.0,22.2,True,MIA,Active,3423,['WR'],Robbie Chosen,WR,
281,162.0,277.0,299.0,,258.0,0,0,,,0,0,0,,333.0,True,WAS,Active,7634,['LB'],Jamin Davis,LB,1.0
282,40.0,0.0,3.0,,0.0,0,0,,,0,0,0,,0.0,True,JAX,Active,7846,['LB'],Caleb Johnson,LB,2.0
286,13.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,SEA,Inactive,12258,['DL'],Buddha Jones,NT,
294,5.0,0.0,0.0,,0.0,0,0,,,0,0,0,22367.0,0.0,True,NO,Active,7381,['DL'],Niko Lalos,DE,
322,69.0,0.0,0.0,,52.0,0,0,,,0,0,0,,0.0,True,IND,Active,8620,['LB'],Segun Olubi,LB,1.0
323,197.0,189.0,152.0,,219.0,0,0,,,0,0,0,16767.0,182.0,True,SEA,Active,2311,['DL'],Leonard Williams,DE,1.0
326,22.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,11865,['DB'],Jalyn Phillips,DB,
331,30.0,0.0,0.0,,0.0,0,0,,,0,0,0,21463.0,0.0,True,HOU,Active,6476,['DB'],D'Angelo Ross,DB,
335,170.0,129.0,153.0,,272.0,0,0,,,0,0,0,21900.0,146.0,True,BAL,Active,6818,['DL'],Justin Madubuike,DT,1.0
341,24.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,ARI,Active,11744,['DB'],Dadrion Taylor-Demerson,DB,2.0
352,146.0,141.0,133.0,,215.0,0,0,,,0,0,0,20898.0,114.0,True,BUF,Active,5841,['DL'],Ed Oliver,DT,1.0
354,6.5,21.7,0.0,,23.3,0,0,,,0,0,0,21797.0,5.5,True,,Active,6908,['RB'],La'Mical Perine,RB,
355,22.0,0.0,0.0,,29.0,0,0,,,0,0,0,,0.0,True,LV,Active,7710,['DL'],Janarius Robinson,DE,2.0
363,64.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,12060,['LB'],Aaron Casey,LB,
367,35.6,56.3,15.2,,73.7,0,0,,,0,0,0,,96.2,True,CLE,Active,8116,['RB'],Pierre Strong,RB,3.0
382,52.16,872.56,1150.3600000000001,,108.46000000000001,0,0,,,0,0,0,,53.36,True,HOU,Active,7585,['QB'],Davis Mills,QB,2.0
383,19.0,64.0,12.0,,19.0,0,0,,,0,0,0,18045.0,0.0,True,KC,Active,3284,['DB'],Deon Bush,DB,
386,10.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,12221,['DL'],Andre Carter,DL,
393,18.0,69.0,255.0,,3.0,0,0,,,0,0,0,,0.0,True,BUF,Active,7787,['DB'],Damar Hamlin,DB,2.0
400,21.0,185.0,77.0,,0.0,0,0,,,0,0,0,20366.0,127.0,True,DET,Inactive,5436,['DB'],Emmanuel Moseley,CB,
401,10.600000000000001,55.5,16.1,590796.0,21.1,0,0,,,0,0,0,16815.0,29.6,True,LV,Active,2359,['RB'],Ameer Abdullah,RB,4.0
409,119.0,0.0,100.0,,157.0,0,0,,,0,0,0,19887.0,134.0,True,NO,Active,5043,['DL'],Nathan Shepherd,DT,1.0
411,101.36,182.8,0.0,882345.0,176.86,0,3,,853047867152117760,0,0,0,20859.0,53.040000000000006,True,NYG,Active,5854,['QB'],Drew Lock,QB,2.0
412,156.0,185.0,203.0,,127.0,0,0,,,0,0,0,19886.0,173.0,True,ATL,Active,5021,"['DL', 'LB']",Lorenzo Carter,LB,1.0
416,13.0,0.0,0.0,,0.0,0,0,,,0,0,0,19481.0,0.0,True,SF,Active,4594,['DL'],Alex Barrett,DE,
418,86.5,95.2,2.0,,34.3,0,0,,,0,0,0,,35.8,True,IND,Active,7593,['RB'],Trey Sermon,RB,2.0
421,12.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,LV,Active,11855,['LB'],Amari Gainer,LB,2.0
422,24.0,86.0,93.0,,34.0,0,0,,,0,0,0,,0.0,True,CHI,Active,8391,['DL'],Dominique Robinson,DL,3.0
432,63.2,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,DEN,Active,11579,['RB'],Audric Estime,RB,3.0
433,174.0,171.0,142.0,,142.0,0,0,,,0,0,0,16678.0,222.0,True,HOU,Active,2267,['DB'],Jimmie Ward,DB,1.0
440,169.0,186.0,200.0,,170.2,0,0,,,0,0,0,20940.0,197.0,True,TEN,Active,6125,['DL'],Jeffery Simmons,DT,1.0
441,103.0,76.0,2032.0,,1978.0,3,0,JohnnyUtahOhio,,0,0,0,,83.0,True,HOU,,HOU,['DEF'],,DEF,
442,1014.3599999999999,976.8,970.2,591816.0,1471.3200000000002,11,20,zackallen22,DaFlowMasta,0,0,0,18055.0,1032.36,True,DAL,Active,3294,['QB'],Dak Prescott,QB,1.0
447,90.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,11252,['DB'],Christian Young,DB,
449,82.0,0.0,27.0,,2.0,0,0,,,0,0,0,,0.0,True,PHI,Active,7770,['DL'],Patrick Johnson,LB,3.0
455,16.0,0.0,0.0,,107.0,0,0,,,0,0,0,,0.0,True,ATL,Active,10934,['DL'],Zach Harrison,DE,1.0
456,40.0,121.0,116.0,,19.0,0,0,,,0,0,0,21890.0,145.0,True,SEA,Active,7120,"['DL', 'LB']",Trevis Gipson,LB,2.0
465,333.0,377.0,365.0,,391.0,0,0,,,0,0,0,22003.0,393.0,True,CIN,Active,6880,['LB'],Logan Wilson,LB,1.0
466,20.0,180.0,118.0,,38.0,0,0,,,0,0,0,,191.0,True,BUF,Active,8296,['DB'],Kaiir Elam,DB,2.0
469,22.0,49.0,7.0,,46.0,0,0,,,0,0,0,,0.0,True,NE,Active,8473,['DL'],Eric Johnson,DT,3.0
477,960.2,1005.24,707.74,323205.0,1286.3,1,15,ahstewart,zackallen22,0,0,0,9038.0,1004.44,True,LAR,Active,421,['QB'],Matthew Stafford,QB,1.0
481,26.5,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,PHI,Active,11636,['WR'],Johnny Wilson,WR,6.0
483,115.5,27.3,30.1,,85.1,0,0,,,0,0,0,,69.9,True,BUF,Active,8134,['WR'],Khalil Shakir,WR,2.0
492,19.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,8312,['DB'],Kalon Barnes,DB,
493,42.400000000000006,18.5,50.900000000000006,,59.5,0,0,,,0,0,0,,36.900000000000006,True,KC,Active,7828,['TE'],Noah Gray,TE,2.0
496,162.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,MIN,Active,11667,"['DL', 'LB']",Dallas Turner,LB,2.0
501,97.0,99.0,1973.0,,1921.0,0,1,,zackallen22,0,0,0,,102.0,True,NE,,NE,['DEF'],,DEF,
504,19.0,76.0,109.0,,74.0,0,0,,,0,0,0,22059.0,97.0,True,SF,Active,6841,['DL'],Jordan Elliott,DT,2.0
505,43.8,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,NE,Active,11557,['QB'],Joe Milton,QB,3.0
513,10.0,0.0,0.0,,6.0,0,0,,,0,0,0,,0.0,True,,Active,11054,['DL'],Travis Bell,DL,
518,41.7,112.7,44.8,923109.0,104.6,0,0,,,0,0,0,20802.0,158.9,True,BAL,Active,5995,['RB'],Justice Hill,RB,2.0
524,24.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,CIN,Active,11764,['DB'],Josh Newton,CB,2.0
529,30.0,105.0,82.0,,56.0,0,0,,,0,0,0,19893.0,0.0,True,HOU,Active,5055,['DB'],M.J. Stewart,DB,3.0
549,64.0,124.0,134.0,,41.0,0,0,,,0,0,0,,54.0,True,,Active,7709,"['DL', 'LB']",Rashad Weaver,LB,
559,23.0,60.0,66.0,883319.0,74.0,0,0,,,0,0,0,20773.0,0.0,True,SF,Active,6005,['DL'],Kevin Givens,DT,2.0
560,126.0,0.0,21.0,,82.0,0,0,,,0,0,0,,117.0,True,LAR,Active,7722,['DL'],Bobby Brown,DT,1.0
566,177.0,89.0,64.0,,196.0,0,0,,,0,0,0,,266.0,True,MIN,Active,8389,['DB'],Akayleb Evans,DB,2.0
567,34.0,85.0,128.0,,74.0,0,0,,,0,0,0,,0.0,True,NYG,Active,7974,['DB'],Nick McCloud,CB,2.0
574,21.0,0.0,0.0,,1.0,0,0,,,0,0,0,,0.0,True,MIN,Inactive,11076,['DB'],NaJee Thompson,CB,
575,241.9,131.2,118.0,,291.5,4,1,wopemganghamstyle,JohnnyUtahOhio,0,0,0,,218.5,True,BUF,Active,8138,['RB'],James Cook,RB,1.0
580,67.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,IND,Active,11281,['LB'],Liam Anderson,LB,
581,27.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,12081,['DB'],Dyshawn Gales,CB,
586,20.0,0.0,4.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,7723,"['DL', 'LB']",Elerson Smith,LB,
593,43.879999999999995,0.0,0.0,,48.36,0,0,,,0,0,0,,18.12,True,,Active,9231,['QB'],Jaren Hall,QB,
594,28.0,0.0,5.0,,84.0,0,0,,,0,0,0,20604.0,0.0,True,,Active,5674,['DB'],Andre Chachere,DB,
598,19.0,0.0,0.0,,0.0,0,0,,,0,0,0,22289.0,0.0,True,,Inactive,7293,['DB'],Luq Barcoo,CB,
600,13.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,DET,Active,11345,['DL'],Chris Smith,DL,
603,72.4,115.00000000000001,114.30000000000001,,94.80000000000001,1,1,853047867152117760,ahstewart,0,0,0,,140.4,True,PHI,Active,8119,['WR'],Jahan Dotson,WR,3.0
